attendance,boxscore_index,date,datetime,game_number_for_day,day_or_night,game,game_duration,games_behind,innings,location,loser,opponent_abbr,rank,record,result,runs_allowed,runs_scored,save,streak,winner,home,road,home_team_runs,road_team_runs,team,cum_runs_scored,cum_runs_allowed,ytd_rd,winning_team
,LAN/LAN202007230,"Thursday, Jul 23",2020-07-23,1,Night,1,2:56,-0.5,9,Home,Rogers,SFG,1,1-0,Win,1,8,,+,Kolarek,LAD,SFG,8,1,Los Angeles Dodgers,8,1,7.0,LAD
,LAN/LAN202007240,"Friday, Jul 24",2020-07-24,1,Night,2,2:55,-0.5,9,Home,Anderson,SFG,1,2-0,Win,1,9,,++,Stripling,LAD,SFG,9,1,Los Angeles Dodgers,17,2,7.5,LAD
,LAN/LAN202007250,"Saturday, Jul 25",2020-07-25,1,Day,3,3:16,0.5,9,Home,Wood,SFG,2,2-1,Loss,5,4,Gott,-,Baragar,LAD,SFG,4,5,Los Angeles Dodgers,21,7,4.666666666666667,SFG
,LAN/LAN202007260,"Sunday, Jul 26",2020-07-26,1,Night,4,3:28,0.5,9,Home,Graterol,SFG,3,2-2,Loss,3,1,Gott,--,Peralta,LAD,SFG,1,3,Los Angeles Dodgers,22,10,3.0,SFG
,HOU/HOU202007280,"Tuesday, Jul 28",2020-07-28,1,Night,5,3:19,1.0,9,Away,Valdez,HOU,3,3-2,Win,2,5,Jansen,+,Kolarek,HOU,LAD,2,5,Los Angeles Dodgers,27,12,3.0,LAD
,HOU/HOU202007290,"Wednesday, Jul 29",2020-07-29,1,Night,6,4:44,0.5,13,Away,Sneed,HOU,2,4-2,Win,2,4,,++,Santana,HOU,LAD,2,4,Los Angeles Dodgers,31,14,2.8333333333333335,LAD
,ARI/ARI202007300,"Thursday, Jul 30",2020-07-30,1,Night,7,3:19,0.0,9,Away,Ray,ARI,1,5-2,Win,3,6,Baez,+++,Stripling,ARI,LAD,3,6,Los Angeles Dodgers,37,17,2.857142857142857,LAD
,ARI/ARI202007310,"Friday, Jul 31",2020-07-31,1,Night,8,3:15,1.0,9,Away,Treinen,ARI,2,5-3,Loss,5,3,Bradley,-,Rondon,ARI,LAD,5,3,Los Angeles Dodgers,40,22,2.25,ARI
,ARI/ARI202008010,"Saturday, Aug 1",2020-08-01,1,Night,9,2:49,0.0,9,Away,Weaver,ARI,1,6-3,Win,2,11,,+,Urias,ARI,LAD,2,11,Los Angeles Dodgers,51,24,3.0,LAD
,ARI/ARI202008020,"Sunday, Aug 2",2020-08-02,1,Day,10,2:56,0.0,9,Away,Kelly,ARI,1,7-3,Win,0,3,Jansen,++,Kershaw,ARI,LAD,0,3,Los Angeles Dodgers,54,24,3.0,LAD
,SDN/SDN202008030,"Monday, Aug 3",2020-08-03,1,Night,11,2:44,1.0,9,Away,Graterol,SDP,2,7-4,Loss,5,4,Yates,-,Paddack,SDP,LAD,5,4,Los Angeles Dodgers,58,29,2.6363636363636362,SDP
,SDN/SDN202008040,"Tuesday, Aug 4",2020-08-04,1,Night,12,3:04,1.0,9,Away,Stammen,SDP,2,8-4,Win,2,5,Jansen,+,May,SDP,LAD,2,5,Los Angeles Dodgers,63,31,2.6666666666666665,LAD
,SDN/SDN202008050,"Wednesday, Aug 5",2020-08-05,1,Night,13,3:11,0.0,9,Away,Richards,SDP,1,9-4,Win,6,7,Jansen,++,Stripling,SDP,LAD,6,7,Los Angeles Dodgers,70,37,2.5384615384615383,LAD
,LAN/LAN202008070,"Friday, Aug 7",2020-08-07,1,Night,14,3:16,0.5,9,Home,Samardzija,SFG,2,10-4,Win,2,7,,+++,Floro,LAD,SFG,7,2,Los Angeles Dodgers,77,39,2.7142857142857144,LAD
,LAN/LAN202008080,"Saturday, Aug 8",2020-08-08,1,Night,15,2:54,1.5,9,Home,Kershaw,SFG,2,10-5,Loss,5,4,Gott,-,Cueto,LAD,SFG,4,5,Los Angeles Dodgers,81,44,2.466666666666667,SFG
,LAN/LAN202008090,"Sunday, Aug 9",2020-08-09,1,Day,16,2:41,0.5,9,Home,Rogers,SFG,2,11-5,Win,2,6,,+,McGee,LAD,SFG,6,2,Los Angeles Dodgers,87,46,2.5625,LAD
,LAN/LAN202008100,"Monday, Aug 10",2020-08-10,1,Night,17,2:56,0.5,9,Home,May,SDP,2,11-6,Loss,2,1,Pomeranz,-,Quantrill,LAD,SDP,1,2,Los Angeles Dodgers,88,48,2.3529411764705883,SDP
,LAN/LAN202008110,"Tuesday, Aug 11",2020-08-11,1,Night,18,3:02,1.5,9,Home,Stripling,SDP,2,11-7,Loss,6,2,Pomeranz,--,Richards,LAD,SDP,2,6,Los Angeles Dodgers,90,54,2.0,SDP
,LAN/LAN202008120,"Wednesday, Aug 12",2020-08-12,1,Night,19,2:52,0.5,9,Home,Davies,SDP,2,12-7,Win,0,6,,+,Treinen,LAD,SDP,6,0,Los Angeles Dodgers,96,54,2.210526315789474,LAD
,LAN/LAN202008130,"Thursday, Aug 13",2020-08-13,1,Night,20,2:45,0.0,9,Home,Paddack,SDP,1,13-7,Win,2,11,,++,Urias,LAD,SDP,11,2,Los Angeles Dodgers,107,56,2.55,LAD
,ANA/ANA202008140,"Friday, Aug 14",2020-08-14,1,Night,21,2:58,-1.0,9,Away,Sandoval,LAA,1,14-7,Win,4,7,Jansen,+++,Kershaw,LAA,LAD,4,7,Los Angeles Dodgers,114,60,2.5714285714285716,LAD
,ANA/ANA202008150,"Saturday, Aug 15",2020-08-15,1,Night,22,3:17,-2.0,10,Away,Middleton,LAA,1,15-7,Win,5,6,Jansen,++++,McGee,LAA,LAD,5,6,Los Angeles Dodgers,120,65,2.5,LAD
,ANA/ANA202008160,"Sunday, Aug 16",2020-08-16,1,Day,23,3:10,-2.0,9,Away,Teheran,LAA,1,16-7,Win,3,8,,+++++,Alexander,LAA,LAD,3,8,Los Angeles Dodgers,128,68,2.608695652173913,LAD
,LAN/LAN202008170,"Monday, Aug 17",2020-08-17,1,Night,24,3:32,-3.0,9,Home,Magill,SEA,1,17-7,Win,9,11,Jansen,++++++,Ferguson,LAD,SEA,11,9,Los Angeles Dodgers,139,77,2.5833333333333335,LAD
,LAN/LAN202008180,"Tuesday, Aug 18",2020-08-18,1,Day,25,2:38,-4.0,9,Home,Altavilla,SEA,1,18-7,Win,1,2,,+++++++,Treinen,LAD,SEA,2,1,Los Angeles Dodgers,141,78,2.52,LAD
,SEA/SEA202008190,"Wednesday, Aug 19",2020-08-19,1,Night,26,3:15,-4.0,9,Away,Santana,SEA,1,18-8,Loss,6,4,Williams,-,Walker,SEA,LAD,6,4,Los Angeles Dodgers,145,84,2.3461538461538463,SEA
,SEA/SEA202008200,"Thursday, Aug 20",2020-08-20,1,Day,27,2:42,-4.0,9,Away,Kikuchi,SEA,1,19-8,Win,1,6,,+,Kershaw,SEA,LAD,1,6,Los Angeles Dodgers,151,85,2.4444444444444446,LAD
,LAN/LAN202008210,"Friday, Aug 21",2020-08-21,1,Night,28,2:35,-4.0,9,Home,Gray,COL,1,20-8,Win,1,5,,++,Buehler,LAD,COL,5,1,Los Angeles Dodgers,156,86,2.5,LAD
,LAN/LAN202008220,"Saturday, Aug 22",2020-08-22,1,Night,29,3:05,-4.0,9,Home,Bard,COL,1,21-8,Loss,3,4,,+++,Jansen,LAD,COL,4,3,Los Angeles Dodgers,160,89,2.4482758620689653,COL
,LAN/LAN202008230,"Sunday, Aug 23",2020-08-23,1,Day,30,2:58,-4.0,9,Home,Senzatela,COL,1,22-8,Win,3,11,,++++,Gonzalez,LAD,COL,11,3,Los Angeles Dodgers,171,92,2.6333333333333333,LAD
,SFN/SFN202008250,"Tuesday, Aug 25",2020-08-25,1,Night,31,4:22,-4.0,11,Away,Santana,SFG,1,22-9,Loss,10,8,,-,Selman,SFG,LAD,10,8,Los Angeles Dodgers,179,102,2.4838709677419355,SFG
,SFN/SFN202008271,"Thursday, Aug 27 (1)",2020-08-27,1,Day,32,2:17,-5.0,7,Away,Webb,SFG,1,23-9,Win,0,7,,+,Kershaw,SFG,LAD,0,7,Los Angeles Dodgers,186,102,2.625,LAD
,SFN/SFN202008272,"Thursday, Aug 27 (2)",2020-08-27,2,Day,33,2:30,-5.0,7,Away,Gausman,SFG,1,24-9,Win,0,2,Jansen,++,Gonzalez,SFG,LAD,0,2,Los Angeles Dodgers,188,102,2.606060606060606,LAD
,TEX/TEX202008280,"Friday, Aug 28",2020-08-28,1,Night,34,3:10,-4.0,9,Away,McGee,TEX,1,24-10,Loss,6,2,,-,Hernandez,TEX,LAD,6,2,Los Angeles Dodgers,190,108,2.411764705882353,TEX
,TEX/TEX202008290,"Saturday, Aug 29",2020-08-29,1,Night,35,3:36,-5.0,9,Away,Lynn,TEX,1,25-10,Win,4,7,Jansen,+,Treinen,TEX,LAD,4,7,Los Angeles Dodgers,197,112,2.4285714285714284,LAD
,TEX/TEX202008300,"Sunday, Aug 30",2020-08-30,1,Day,36,3:40,-5.0,9,Away,Gibson,TEX,1,26-10,Win,2,7,,++,Alexander,TEX,LAD,2,7,Los Angeles Dodgers,204,114,2.5,LAD
,LAN/LAN202009010,"Tuesday, Sep 1",2020-09-01,1,Night,37,2:46,-5.0,9,Home,Young,ARI,1,27-10,Win,3,6,Jansen,+++,Urias,LAD,ARI,6,3,Los Angeles Dodgers,210,117,2.5135135135135136,LAD
,LAN/LAN202009020,"Wednesday, Sep 2",2020-09-02,1,Night,38,3:11,-5.0,10,Home,Guerra,ARI,1,28-10,Loss,2,3,,++++,Jansen,LAD,ARI,3,2,Los Angeles Dodgers,213,119,2.473684210526316,ARI
,LAN/LAN202009030,"Thursday, Sep 3",2020-09-03,1,Night,39,2:58,-6.0,9,Home,Weaver,ARI,1,29-10,Win,1,5,,+++++,Kershaw,LAD,ARI,5,1,Los Angeles Dodgers,218,120,2.5128205128205128,LAD
,LAN/LAN202009040,"Friday, Sep 4",2020-09-04,1,Night,40,3:30,-6.0,9,Home,Estevez,COL,1,30-10,Win,6,10,,++++++,Ferguson,LAD,COL,10,6,Los Angeles Dodgers,228,126,2.55,LAD
,LAN/LAN202009050,"Saturday, Sep 5",2020-09-05,1,Night,41,2:45,-6.0,9,Home,Treinen,COL,1,30-11,Loss,5,2,Bard,-,Almonte,LAD,COL,2,5,Los Angeles Dodgers,230,131,2.4146341463414633,COL
,LAN/LAN202009060,"Sunday, Sep 6",2020-09-06,1,Night,42,3:43,-5.0,9,Home,Ferguson,COL,1,30-12,Loss,7,6,Bard,--,Almonte,LAD,COL,6,7,Los Angeles Dodgers,236,138,2.3333333333333335,COL
,ARI/ARI202009080,"Tuesday, Sep 8",2020-09-08,1,Night,43,4:25,-4.5,10,Away,López,ARI,1,31-12,Win,9,10,,+,Jansen,ARI,LAD,9,10,Los Angeles Dodgers,246,147,2.302325581395349,LAD
,ARI/ARI202009090,"Wednesday, Sep 9",2020-09-09,1,Night,44,3:20,-4.5,10,Away,Ginkel,ARI,1,32-12,Win,4,6,Treinen,++,McGee,ARI,LAD,4,6,Los Angeles Dodgers,252,151,2.2954545454545454,LAD
,ARI/ARI202009100,"Thursday, Sep 10",2020-09-10,1,Night,45,3:31,-3.5,9,Away,Gonsolin,ARI,1,32-13,Loss,5,2,Bergen,-,Smith,ARI,LAD,5,2,Los Angeles Dodgers,254,156,2.1777777777777776,ARI
,LAN/LAN202009120,"Saturday, Sep 12",2020-09-12,1,Night,46,3:15,-3.0,9,Home,Jansen,HOU,1,32-14,Loss,7,5,Pressly,--,James,LAD,HOU,5,7,Los Angeles Dodgers,259,163,2.0869565217391304,HOU
,LAN/LAN202009130,"Sunday, Sep 13",2020-09-13,1,Night,47,2:52,-2.5,9,Home,Greinke,HOU,1,33-14,Win,1,8,,+,Gonzalez,LAD,HOU,8,1,Los Angeles Dodgers,267,164,2.1914893617021276,LAD
,SDN/SDN202009140,"Monday, Sep 14",2020-09-14,1,Night,48,2:59,-1.5,9,Away,Kershaw,SDP,1,33-15,Loss,7,2,,-,Lamet,SDP,LAD,7,2,Los Angeles Dodgers,269,171,2.0416666666666665,SDP
,SDN/SDN202009150,"Tuesday, Sep 15",2020-09-15,1,Night,49,2:59,-2.5,9,Away,Davies,SDP,1,34-15,Win,1,3,Jansen,+,Gonsolin,SDP,LAD,1,3,Los Angeles Dodgers,272,172,2.0408163265306123,LAD
,SDN/SDN202009160,"Wednesday, Sep 16",2020-09-16,1,Day,50,3:25,-3.5,9,Away,Morejón,SDP,1,35-15,Win,5,7,Baez,++,Kolarek,SDP,LAD,5,7,Los Angeles Dodgers,279,177,2.04,LAD
,COL/COL202009170,"Thursday, Sep 17",2020-09-17,1,Night,51,3:07,-4.0,9,Away,Freeland,COL,1,36-15,Win,3,9,,+++,Floro,COL,LAD,3,9,Los Angeles Dodgers,288,180,2.1176470588235294,LAD
,COL/COL202009180,"Friday, Sep 18",2020-09-18,1,Night,52,3:24,-4.0,9,Away,Castellani,COL,1,37-15,Win,6,15,,++++,White,COL,LAD,6,15,Los Angeles Dodgers,303,186,2.25,LAD
,COL/COL202009190,"Saturday, Sep 19",2020-09-19,1,Night,53,2:32,-5.0,9,Away,Gonzalez,COL,1,38-15,Win,1,6,,+++++,Kershaw,COL,LAD,1,6,Los Angeles Dodgers,309,187,2.30188679245283,LAD
,COL/COL202009200,"Sunday, Sep 20",2020-09-20,1,Day,54,3:15,-4.0,9,Away,Gonsolin,COL,1,38-16,Loss,6,3,Givens,-,Senzatela,COL,LAD,6,3,Los Angeles Dodgers,312,193,2.2037037037037037,COL
,TBA/TBA202007240,"Friday, Jul 24",2020-07-24,1,Night,1,3:27,1.0,9,Home,Morton,TOR,4,0-1,Loss,6,4,Giles,-,Romano,TBR,TOR,4,6,Tampa Bay Rays,4,6,-2.0,TOR
,TBA/TBA202007250,"Saturday, Jul 25",2020-07-25,1,Day,2,2:47,0.0,9,Home,Gaviglio,TOR,1,1-1,Win,1,4,Drake,+,Anderson,TBR,TOR,4,1,Tampa Bay Rays,8,7,0.5,TBR
,TBA/TBA202007260,"Sunday, Jul 26",2020-07-26,1,Day,3,3:55,0.0,10,Home,Yamaguchi,TOR,1,2-1,Loss,5,6,,++,Roe,TBR,TOR,6,5,Tampa Bay Rays,14,12,0.6666666666666666,TOR
,TBA/TBA202007270,"Monday, Jul 27",2020-07-27,1,Night,4,3:03,-0.5,9,Home,Foltynewicz,ATL,1,3-1,Win,5,14,,+++,Castillo,TBR,ATL,14,5,Tampa Bay Rays,28,17,2.75,TBR
,TBA/TBA202007280,"Tuesday, Jul 28",2020-07-28,1,Night,5,3:03,-1.0,9,Home,Wright,ATL,1,4-1,Win,2,5,Drake,++++,Fairbanks,TBR,ATL,5,2,Tampa Bay Rays,33,19,2.8,TBR
,ATL/ATL202007290,"Wednesday, Jul 29",2020-07-29,1,Night,6,3:22,0.0,9,Away,Drake,ATL,1,4-2,Loss,7,4,Melancon,-,O'Day,ATL,TBR,7,4,Tampa Bay Rays,37,26,1.8333333333333333,ATL
,ATL/ATL202007300,"Thursday, Jul 30",2020-07-30,1,Night,7,2:40,1.0,9,Away,Yarbrough,ATL,2,4-3,Loss,2,1,Melancon,--,Fried,ATL,TBR,2,1,Tampa Bay Rays,38,28,1.4285714285714286,ATL
,BAL/BAL202007310,"Friday, Jul 31",2020-07-31,1,Night,8,3:36,2.0,9,Away,Fairbanks,BAL,2,4-4,Loss,6,3,Sulser,---,Fry,BAL,TBR,6,3,Tampa Bay Rays,41,34,0.875,BAL
,BAL/BAL202008010,"Saturday, Aug 1",2020-08-01,1,Night,9,3:50,3.0,11,Away,Drake,BAL,3,4-5,Loss,5,4,,----,Lakins,BAL,TBR,5,4,Tampa Bay Rays,45,39,0.6666666666666666,BAL
,BAL/BAL202008020,"Sunday, Aug 2",2020-08-02,1,Day,10,2:56,4.0,9,Away,Beeks,BAL,4,4-6,Loss,5,1,Sulser,-----,Phillips,BAL,TBR,5,1,Tampa Bay Rays,46,44,0.2,BAL
,TBA/TBA202008040,"Tuesday, Aug 4",2020-08-04,1,Night,11,3:14,4.0,9,Home,Eovaldi,BOS,3,5-6,Win,1,5,Anderson,+,Morton,TBR,BOS,5,1,Tampa Bay Rays,51,45,0.5454545454545454,TBR
,TBA/TBA202008050,"Wednesday, Aug 5",2020-08-05,1,Night,12,3:05,4.5,9,Home,Yarbrough,BOS,4,5-7,Loss,5,0,,-,Perez,TBR,BOS,0,5,Tampa Bay Rays,51,50,0.08333333333333333,BOS
,TBA/TBA202008070,"Friday, Aug 7",2020-08-07,1,Night,13,2:52,3.0,9,Home,Ottavino,NYY,2,6-7,Win,0,1,,+,Roe,TBR,NYY,1,0,Tampa Bay Rays,52,50,0.15384615384615385,TBR
,TBA/TBA202008081,"Saturday, Aug 8 (1)",2020-08-08,1,Day,14,2:52,3.0,7,Home,Glasnow,NYY,3,6-8,Loss,8,4,,-,Green,TBR,NYY,4,8,Tampa Bay Rays,56,58,-0.14285714285714285,NYY
,TBA/TBA202008082,"Saturday, Aug 8 (2)",2020-08-08,2,Day,15,2:47,3.0,7,Home,King,NYY,3,7-8,Win,3,5,Anderson,+,Fairbanks,TBR,NYY,5,3,Tampa Bay Rays,61,61,0.0,TBR
,TBA/TBA202008090,"Sunday, Aug 9",2020-08-09,1,Day,16,3:08,2.0,9,Home,Britton,NYY,3,8-8,Loss,3,4,,++,Thompson,TBR,NYY,4,3,Tampa Bay Rays,65,64,0.0625,NYY
,BOS/BOS202008100,"Monday, Aug 10",2020-08-10,1,Night,17,4:24,1.5,9,Away,Springs,BOS,2,9-8,Win,7,8,Kittredge,+++,Loup,BOS,TBR,7,8,Tampa Bay Rays,73,71,0.11764705882352941,TBR
,BOS/BOS202008110,"Tuesday, Aug 11",2020-08-11,1,Night,18,3:25,1.5,9,Away,Perez,BOS,2,10-8,Win,2,8,,++++,Curtiss,BOS,TBR,2,8,Tampa Bay Rays,81,73,0.4444444444444444,TBR
,BOS/BOS202008120,"Wednesday, Aug 12",2020-08-12,1,Night,19,2:58,1.5,9,Away,Godley,BOS,2,11-8,Win,5,9,,+++++,Snell,BOS,TBR,5,9,Tampa Bay Rays,90,78,0.631578947368421,TBR
,BOS/BOS202008130,"Thursday, Aug 13",2020-08-13,1,Day,20,3:44,1.0,9,Away,Hart,BOS,2,12-8,Win,8,17,Banda,++++++,Beeks,BOS,TBR,8,17,Tampa Bay Rays,107,86,1.05,TBR
,TOR/TOR202008140,"Friday, Aug 14",2020-08-14,1,Night,21,3:09,2.0,9,Away,Thompson,TOR,2,12-9,Loss,12,4,,-,Font,TOR,TBR,12,4,Tampa Bay Rays,111,98,0.6190476190476191,TOR
,TOR/TOR202008150,"Saturday, Aug 15",2020-08-15,1,Day,22,3:37,2.0,9,Away,Romano,TOR,2,13-9,Win,2,3,Anderson,+,Loup,TOR,TBR,2,3,Tampa Bay Rays,114,100,0.6363636363636364,TBR
,TOR/TOR202008160,"Sunday, Aug 16",2020-08-16,1,Day,23,2:54,2.0,8,Away,Font,TOR,2,14-9,Win,5,7,Slegers,++,Loup,TOR,TBR,5,7,Tampa Bay Rays,121,105,0.6956521739130435,TBR
,NYA/NYA202008180,"Tuesday, Aug 18",2020-08-18,1,Night,24,3:15,1.5,9,Away,Tanaka,NYY,2,15-9,Win,3,6,Roe,+++,Snell,NYY,TBR,3,6,Tampa Bay Rays,127,108,0.7916666666666666,TBR
,NYA/NYA202008190,"Wednesday, Aug 19",2020-08-19,1,Night,25,3:12,0.5,9,Away,Britton,NYY,2,16-9,Win,2,4,Beeks,++++,Fairbanks,NYY,TBR,2,4,Tampa Bay Rays,131,110,0.84,TBR
,NYA/NYA202008200,"Thursday, Aug 20",2020-08-20,1,Day,26,3:25,-0.5,9,Away,Ottavino,NYY,1,17-9,Win,5,10,,+++++,Castillo,NYY,TBR,5,10,Tampa Bay Rays,141,115,1.0,TBR
,TBA/TBA202008210,"Friday, Aug 21",2020-08-21,1,Night,27,3:31,0.0,10,Home,Loup,TOR,1,17-10,Loss,6,5,Romano,-,Hatch,TBR,TOR,5,6,Tampa Bay Rays,146,121,0.9259259259259259,TOR
,TBA/TBA202008220,"Saturday, Aug 22",2020-08-22,1,Night,28,3:21,-0.5,10,Home,Bass,TOR,1,18-10,Loss,1,2,,+,Banda,TBR,TOR,2,1,Tampa Bay Rays,148,122,0.9285714285714286,TOR
,TBA/TBA202008230,"Sunday, Aug 23",2020-08-23,1,Day,29,3:14,-1.0,9,Home,Borucki,TOR,1,19-10,Win,4,5,Curtiss,++,Fleming,TBR,TOR,5,4,Tampa Bay Rays,153,126,0.9310344827586207,TBR
,TBA/TBA202008240,"Monday, Aug 24",2020-08-24,1,Day,30,3:29,-0.5,9,Home,Loup,TOR,1,19-11,Loss,6,4,Romano,-,Hatch,TBR,TOR,4,6,Tampa Bay Rays,157,132,0.8333333333333334,TOR
,TBA/TBA202008250,"Tuesday, Aug 25",2020-08-25,1,Night,31,2:41,-1.0,9,Home,Milone,BAL,1,20-11,Win,2,4,Garcia,+,Glasnow,TBR,BAL,4,2,Tampa Bay Rays,161,134,0.8709677419354839,TBR
,TBA/TBA202008260,"Wednesday, Aug 26",2020-08-26,1,Night,32,3:26,-2.5,9,Home,Givens,BAL,1,21-11,Win,3,4,Castillo,++,Sherriff,TBR,BAL,4,3,Tampa Bay Rays,165,137,0.875,TBR
,MIA/MIA202008280,"Friday, Aug 28",2020-08-28,1,Night,33,2:55,-4.0,9,Away,Bleier,MIA,1,22-11,Win,0,2,Castillo,+++,Fairbanks,MIA,TBR,0,2,Tampa Bay Rays,167,137,0.9090909090909091,TBR
,MIA/MIA202008290,"Saturday, Aug 29",2020-08-29,1,Night,34,2:47,-4.0,9,Away,Lopez,MIA,1,23-11,Win,0,4,,++++,Fleming,MIA,TBR,0,4,Tampa Bay Rays,171,137,1.0,TBR
,MIA/MIA202008300,"Sunday, Aug 30",2020-08-30,1,Day,35,3:26,-3.5,9,Away,Alcantara,MIA,1,24-11,Win,7,12,,+++++,Snell,MIA,TBR,7,12,Tampa Bay Rays,183,144,1.1142857142857143,TBR
,NYA/NYA202008310,"Monday, Aug 31",2020-08-31,1,Night,36,3:21,-4.5,9,Away,Cole,NYY,1,25-11,Win,3,5,Castillo,++++++,Glasnow,NYY,TBR,3,5,Tampa Bay Rays,188,147,1.1388888888888888,TBR
,NYA/NYA202009010,"Tuesday, Sep 1",2020-09-01,1,Night,37,2:39,-3.5,9,Away,Thompson,NYY,1,25-12,Loss,5,3,Chapman,-,Tanaka,NYY,TBR,5,3,Tampa Bay Rays,191,152,1.054054054054054,NYY
,NYA/NYA202009020,"Wednesday, Sep 2",2020-09-02,1,Night,38,3:45,-4.5,9,Away,Montgomery,NYY,1,26-12,Win,2,5,,+,Curtiss,NYY,TBR,2,5,Tampa Bay Rays,196,154,1.105263157894737,TBR
,TBA/TBA202009040,"Friday, Sep 4",2020-09-04,1,Night,39,2:57,-5.5,9,Home,Lopez,MIA,1,27-12,Win,4,5,Anderson,++,Fleming,TBR,MIA,5,4,Tampa Bay Rays,201,158,1.1025641025641026,TBR
,TBA/TBA202009050,"Saturday, Sep 5",2020-09-05,1,Night,40,3:16,-5.5,9,Home,Snell,MIA,1,27-13,Loss,7,3,Kintzler,-,Alcantara,TBR,MIA,3,7,Tampa Bay Rays,204,165,0.975,MIA
,TBA/TBA202009060,"Sunday, Sep 6",2020-09-06,1,Day,41,3:18,-5.5,10,Home,Kintzler,MIA,1,28-13,Loss,4,5,,+,Curtiss,TBR,MIA,5,4,Tampa Bay Rays,209,169,0.975609756097561,MIA
,WAS/WAS202009070,"Monday, Sep 7",2020-09-07,1,Night,42,2:41,-4.5,9,Away,Morton,WSN,1,28-14,Loss,6,1,Hudson,-,Scherzer,WSN,TBR,6,1,Tampa Bay Rays,210,175,0.8333333333333334,WSN
,WAS/WAS202009080,"Tuesday, Sep 8",2020-09-08,1,Night,43,3:20,-3.5,9,Away,Yarbrough,WSN,1,28-15,Loss,5,3,Hudson,--,Sanchez,WSN,TBR,5,3,Tampa Bay Rays,213,180,0.7674418604651163,WSN
,TBA/TBA202009100,"Thursday, Sep 10",2020-09-10,1,Night,44,3:22,-3.5,9,Home,Fairbanks,BOS,1,28-16,Loss,4,3,Barnes,---,Weber,TBR,BOS,3,4,Tampa Bay Rays,216,184,0.7272727272727273,BOS
,TBA/TBA202009110,"Friday, Sep 11",2020-09-11,1,Night,45,3:37,-4.5,9,Home,Hall,BOS,1,29-16,Win,1,11,,+,Snell,TBR,BOS,11,1,Tampa Bay Rays,227,185,0.9333333333333333,TBR
,TBA/TBA202009120,"Saturday, Sep 12",2020-09-12,1,Night,46,2:37,-4.5,9,Home,Walden,BOS,1,30-16,Win,4,5,Castillo,++,Glasnow,TBR,BOS,5,4,Tampa Bay Rays,232,189,0.9347826086956522,TBR
,TBA/TBA202009130,"Sunday, Sep 13",2020-09-13,1,Day,47,3:11,-3.5,9,Home,Fairbanks,BOS,1,30-17,Loss,6,3,Barnes,-,Perez,TBR,BOS,3,6,Tampa Bay Rays,235,195,0.851063829787234,BOS
,TBA/TBA202009150,"Tuesday, Sep 15",2020-09-15,1,Night,48,3:08,-4.0,9,Home,Sanchez,WSN,1,31-17,Win,1,6,Anderson,+,Yarbrough,TBR,WSN,6,1,Tampa Bay Rays,241,196,0.9375,TBR
,TBA/TBA202009160,"Wednesday, Sep 16",2020-09-16,1,Day,49,3:31,-3.0,10,Home,Anderson,WSN,1,31-18,Loss,4,2,McGowin,-,Hudson,TBR,WSN,2,4,Tampa Bay Rays,243,200,0.8775510204081632,WSN
,BAL/BAL202009171,"Thursday, Sep 17 (1)",2020-09-17,1,Day,50,2:28,-3.5,7,Away,Valdez,BAL,1,32-18,Win,1,3,,+,Castillo,BAL,TBR,1,3,Tampa Bay Rays,246,201,0.9,TBR
,BAL/BAL202009172,"Thursday, Sep 17 (2)",2020-09-17,2,Night,51,2:38,-3.5,7,Away,Sulser,BAL,1,33-18,Win,6,10,,++,Fairbanks,BAL,TBR,6,10,Tampa Bay Rays,256,207,0.9607843137254902,TBR
,BAL/BAL202009180,"Friday, Sep 18",2020-09-18,1,Night,52,2:59,-3.5,9,Away,Cobb,BAL,1,34-18,Win,1,2,Sherriff,+++,Glasnow,BAL,TBR,1,2,Tampa Bay Rays,258,208,0.9615384615384616,TBR
,BAL/BAL202009190,"Saturday, Sep 19",2020-09-19,1,Night,53,3:04,-3.5,9,Away,Lopez,BAL,1,35-18,Win,1,3,Thompson,++++,Morton,BAL,TBR,1,3,Tampa Bay Rays,261,209,0.9811320754716981,TBR
,BAL/BAL202009200,"Sunday, Sep 20",2020-09-20,1,Day,54,2:31,-3.5,9,Away,Yarbrough,BAL,1,35-19,Loss,2,1,Valdez,-,Means,BAL,TBR,2,1,Tampa Bay Rays,262,211,0.9444444444444444,BAL
,CHA/CHA202007240,"Friday, Jul 24",2020-07-24,1,Night,1,3:31,1.0,9,Home,Giolito,MIN,3,0-1,Loss,10,5,,-,May,CHW,MIN,5,10,Chicago White Sox,5,10,-5.0,MIN
,CHA/CHA202007250,"Saturday, Jul 25",2020-07-25,1,Day,2,3:17,0.0,9,Home,Dobnak,MIN,1,1-1,Win,3,10,,+,Keuchel,CHW,MIN,10,3,Chicago White Sox,15,13,1.0,CHW
,CHA/CHA202007260,"Sunday, Jul 26",2020-07-26,1,Day,3,3:38,1.0,9,Home,Lopez,MIN,4,1-2,Loss,14,2,,-,Maeda,CHW,MIN,2,14,Chicago White Sox,17,27,-3.3333333333333335,MIN
,CLE/CLE202007281,"Tuesday, Jul 28 (1)",2020-07-28,1,Day,4,3:15,3.0,9,Away,Cease,CLE,5,1-3,Loss,4,3,Hand,--,Civale,CLE,CHW,4,3,Chicago White Sox,20,31,-2.75,CLE
